dataSet,num_nodes,num_edges,8_1_balance
144,144650,1074393,1.26
2D_27628_bjtcai,27629,442898,0.1
2D_54019_highK,54020,996414,0.19
333SP,3712816,11108633,15.89
3D_28984_Tetra,28985,599170,0.11
3D_51448_3D,51449,1056610,0.18
3Dspectralwave,680944,17165766,7.83
3Dspectralwave2,292009,7307376,3.23
3dtube,45331,1629474,0.29
598a,110972,741934,1.04
