dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,8.99
packing-500x100x100-b050,2145852,2145852,32.66
com-Orkut,3072441,3072441,631.25
italy_osm,6686493,6686493,0.0
