dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,0.89
packing-500x100x100-b050,2145852,2145852,4.41
com-Orkut,3072441,3072441,65.8
italy_osm,6686493,6686493,7.12
road_usa,23947347,23947347,28.69
