dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,1.0
packing-500x100x100-b050,2145852,2145852,4.91
com-Orkut,3072441,3072441,73.14
italy_osm,6686493,6686493,6.81
road_usa,23947347,23947347,28.95
