dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,0.21
packing-500x100x100-b050,2145852,2145852,1.18
com-Orkut,3072441,3072441,16.54
italy_osm,6686493,6686493,1.83
road_usa,23947347,23947347,7.5
