dataSet,num_nodes,num_edges,8_1_balance
144,144650,1074393,0.52
2D_27628_bjtcai,27629,442898,0.05
2D_54019_highK,54020,996414,0.09
333SP,3712816,11108633,7.17
3D_28984_Tetra,28985,599170,0.06
3D_51448_3D,51449,1056610,0.1
3Dspectralwave,680944,17165766,4.04
3Dspectralwave2,292009,7307376,1.71
3dtube,45331,1629474,0.16
598a,110972,741934,0.44
