dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,1.85
packing-500x100x100-b050,2145852,2145852,8.59
com-Orkut,3072441,3072441,133.77
italy_osm,6686493,6686493,14.07
