dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,0.43
packing-500x100x100-b050,2145852,2145852,2.27
com-Orkut,3072441,3072441,32.84
italy_osm,6686493,6686493,3.59
road_usa,23947347,23947347,14.57
