dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,2.15
packing-500x100x100-b050,2145852,2145852,8.08
com-Orkut,3072441,3072441,151.45
italy_osm,6686493,6686493,13.73
road_usa,23947347,23947347,0.0
