dataSet,num_nodes,num_edges,8_1_balance
amazon0505,410236,410236,4.43
packing-500x100x100-b050,2145852,2145852,15.77
com-Orkut,3072441,3072441,309.23
italy_osm,6686493,6686493,26.94
