dataSet,num_nodes,num_edges,NNZ,sputnik,GFLOPS_sputnik,cusparse,GFLOPS_cusparse,rode,GFLOPS_rode,gespmm,GFLOPS_gespmm,advisor,GFLOPS_advisor,tcgnn,GFLOPS_tcgnn,dtc,GFLOPS_dtc
amazon0505,410236,410236,3356824,21.882448,19.635530357481027,4.597661,93.45479625400829,0.611091,703.1251843015198,0.9403,456.95360204190155,1.5807,271.82480673119505,1.4275,300.9971782837128,0.0003328000020701,1291086.1458152721
packing-500x100x100-b050,2145852,2145852,34976486,8.219037,544.7098252508171,5.933325,754.5499712218697,2.586422,1730.958910804192,6.5478,683.7396084180946,9.8478,454.6183115010459,10000000.0,0.0004476990208,0.0003839999844785,11658829.137923218
com-Orkut,3072441,3072441,234370166,39.376579,761.8584958332718,42.236916,710.2644816207699,30.428476,985.8982503100057,52.9837,566.2001945503995,90.8602,330.1707595624927,10000000.0,0.0029999381248,0.0003328000020701,90142370.97775324
italy_osm,6686493,6686493,14027956,7.576621,236.9893344275766,5.183658,346.39213620960334,3.973565,451.8809602963586,6.2108,289.105810523604,11.5887,154.94217366917772,10000000.0,0.0001795578368,0.0003839999844785,4675985.522339347
road_usa,23947347,23947347,57708624,0.0,,0.0,,0.0,,25.2811,292.1828509044306,43.0009,171.78021557688328,10000000.0,0.0007386703872,0.0003199999919161,23083450.18313845
