dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,1.5819,1.4874,0.8859
packing-500x100x100-b050,2145852,2145852,9.1627,10000000,7.1082
com-Orkut,3072441,3072441,90.8957,10000000,52.9913
italy_osm,6686493,6686493,9.8902,10000000,6.0414
road_usa,23947347,23947347,43.0311,10000000,25.2775
