dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,1.5807,1.4275,0.9403
packing-500x100x100-b050,2145852,2145852,9.8478,10000000,6.5478
com-Orkut,3072441,3072441,90.8602,10000000,52.9837
italy_osm,6686493,6686493,11.5887,10000000,6.2108
road_usa,23947347,23947347,43.0009,10000000,25.2811
