dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,2.0337,2.1139,1.0933
packing-500x100x100-b050,2145852,2145852,10.9855,10000000,7.4314
com-Orkut,3072441,3072441,108.9305,10000000,71.7192
italy_osm,6686493,6686493,14.6212,10000000,9.8097
road_usa,23947347,23947347,100000,10000000,0.0
