dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
144,144650,1074393,0.6805,10000000,0.4748
2D_27628_bjtcai,27629,442898,0.1434,0.0929,0.074
2D_54019_highK,54020,996414,0.2593,0.622,0.1627
333SP,3712816,11108633,11.9073,10000000,8.9292
3D_28984_Tetra,28985,599170,0.1745,3.5825,0.0952
3D_51448_3D,51449,1056610,0.268,10000000,0.1765
3Dspectralwave,680944,17165766,6.6638,10000000,5.4672
3Dspectralwave2,292009,7307376,2.8238,10000000,2.2422
3dtube,45331,1629474,0.6234,10000000,0.4404
598a,110972,741934,0.547,0.5649,0.3443
