dataSet,num_nodes,num_edges,dtc
144,144650,1074393,1.024998426437378
2D_27628_bjtcai,27629,442898,0.14614400267601013
2D_54019_highK,54020,996414,0.24168960750102997
333SP,3712816,11108633,15.6305513381958
3D_28984_Tetra,28985,599170,0.15960639715194702
3D_51448_3D,51449,1056610,0.24943359196186066
3Dspectralwave,680944,17165766,6.913404941558838
3Dspectralwave2,292009,7307376,2.8201215267181396
3dtube,45331,1629474,0.3275296092033386
598a,110972,741934,0.84513920545578
