dataSet,num_nodes,num_edges,dtc
amazon0505,410236,410236,2.062547206878662
packing-500x100x100-b050,2145852,2145852,10.290390968322754
com-Orkut,3072441,3072441,91.18333435058594
italy_osm,6686493,6686493,19.457509994506836
road_usa,23947347,23947347,74.32402038574219
