dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,6.9935,1.991,4.205
packing-500x100x100-b050,2145852,2145852,40.0584,10000000,17.4958
com-Orkut,3072441,3072441,402.9283,10000000,276.9253
