dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,1.4417,1.0087,0.96
packing-500x100x100-b050,2145852,2145852,7.6613,10000000,6.5821
com-Orkut,3072441,3072441,77.8834,10000000,63.3837
italy_osm,6686493,6686493,14.7418,10000000,10.3502
