dataSet,rows_,columns_,nonzeros_,cusparse,cuSPARSE_gflops,rode,ours_gflops
amazon0505, 410236, 410236, 3356824, 2.100525, 818.221218, 1.448384, 1186.628608
packing-500x100x100-b050, 2145852, 2145852, 17488243, 11.977392, 1495.146949, 11.977392, 1495.146949
CUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredcom-Orkut, 3072441, 3072441, 117185083, 129.111450, 929.410403, 129.111450, 929.410403
CUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encountereditaly_osm, 6686493, 6686493, 7013978, 17.621603, 407.585695, 17.621603, 407.585695
CUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredroad_usa
