dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,0.6652,0.658,0.3917
packing-500x100x100-b050,2145852,2145852,4.2524,10000000,3.023
com-Orkut,3072441,3072441,43.0255,10000000,25.3724
italy_osm,6686493,6686493,5.7717,10000000,3.3153
road_usa,23947347,23947347,24.2286,10000000,13.8126
