dataSet,num_nodes,num_edges,dtc
amazon0505,410236,410236,7.540665626525879
packing-500x100x100-b050,2145852,2145852,39.59221649169922
com-Orkut,3072441,3072441,363.2459716796875
italy_osm,6686493,6686493,73.50936126708984
