dataSet,num_nodes,num_edges,dtc
amazon0505,410236,410236,1.9095680713653564
packing-500x100x100-b050,2145852,2145852,11.107786178588867
com-Orkut,3072441,3072441,93.16829681396484
italy_osm,6686493,6686493,22.783742904663086
road_usa,23947347,23947347,82.96660614013672
