dataSet,rows_,columns_,nonzeros_,cusparse,cuSPARSE_gflops,rode,ours_gflops
144, 144649, 144649, 1074393, 0.617824, 890.365592, 0.448829, 1225.610355
2D_27628_bjtcai, 27628, 27628, 442898, 0.276694, 409.772987, 0.126131, 898.920230
2D_54019_highK, 54019, 54019, 996414, 0.196509, 1298.069006, 0.188067, 1356.334262
333SP, 3712815, 3712815, 11108633, 9.751168, 583.275774, 8.473334, 671.237527
3D_28984_Tetra, 28984, 28984, 599170, 0.297190, 516.125413, 0.157187, 975.827042
3D_51448_3D, 51448, 51448, 1056610, 0.203981, 1326.066744, 0.203533, 1328.985656
3Dspectralwave, 680943, 680943, 17165766, 6.213923, 1386.330410, 3.329075, 2587.670797
3Dspectralwave2, 292008, 292008, 7307376, 2.443120, 1500.795073, 1.705722, 2149.601861
3dtube, 45330, 45330, 1629474, 0.524733, 1567.819352, 0.390042, 2109.226887
598a, 110971, 110971, 741934, 0.487933, 778.529801, 0.322944, 1176.272701
