dataSet,num_nodes,num_edges,dtc
amazon0505,410236,410236,7.531308650970459
packing-500x100x100-b050,2145852,2145852,44.944068908691406
com-Orkut,3072441,3072441,373.22369384765625
italy_osm,6686493,6686493,90.37833404541016
