dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,2.8654,1.1031,1.8098
packing-500x100x100-b050,2145852,2145852,14.0984,10000000,9.5558
com-Orkut,3072441,3072441,156.1747,10000000,122.308
italy_osm,6686493,6686493,100000,10000000,0.0
