dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,3.3475,2.1994,2.4034
packing-500x100x100-b050,2145852,2145852,19.6691,10000000,13.4228
com-Orkut,3072441,3072441,202.6155,10000000,143.4861
italy_osm,6686493,6686493,27.0649,10000000,19.4417
