dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
amazon0505,410236,410236,0.777,0.9571,0.4859
packing-500x100x100-b050,2145852,2145852,4.5623,10000000,3.3348
com-Orkut,3072441,3072441,42.3768,10000000,31.7504
italy_osm,6686493,6686493,8.0578,10000000,5.1698
