dataSet,num_nodes,num_edges,dtc
144,144650,1074393,0.5331839919090271
2D_27628_bjtcai,27629,442898,0.08899199962615967
2D_54019_highK,54020,996414,0.16117440164089203
333SP,3712816,11108633,8.273587226867676
3D_28984_Tetra,28985,599170,0.10953600704669952
3D_51448_3D,51449,1056610,0.15724799036979675
3Dspectralwave,680944,17165766,3.5299391746520996
3Dspectralwave2,292009,7307376,1.46976637840271
3dtube,45331,1629474,0.1720128059387207
598a,110972,741934,0.4866144061088562
