dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
144,144650,1074393,1.068,10000000,0.6347
2D_27628_bjtcai,27629,442898,0.1974,0.1582,0.092
2D_54019_highK,54020,996414,0.3385,0.7444,0.1803
333SP,3712816,11108633,13.9187,10000000,10.0112
3D_28984_Tetra,28985,599170,0.2478,5.2101,0.1237
3D_51448_3D,51449,1056610,0.4092,10000000,0.233
3Dspectralwave,680944,17165766,11.5027,10000000,7.3148
3Dspectralwave2,292009,7307376,4.8265,10000000,2.5077
3dtube,45331,1629474,0.9006,10000000,0.516
598a,110972,741934,0.7437,1.0048,0.4327
