dataSet,rows_,columns_,nonzeros_,cusparse,cuSPARSE_gflops,rode,ours_gflops
144, 144649, 144649, 1074393, 0.246016, 2235.989579, 0.232723, 2363.706083
2D_27628_bjtcai, 27628, 27628, 442898, 0.040182, 2821.680355, 0.144006, 787.339255
2D_54019_highK, 54019, 54019, 996414, 0.087082, 2929.229438, 0.140432, 1816.409249
333SP, 3712815, 3712815, 11108633, 4.382793, 1297.715759, 3.042726, 1869.251285
3D_28984_Tetra, 28984, 28984, 599170, 0.051270, 2991.736276, 0.128883, 1190.128163
3D_51448_3D, 51448, 51448, 1056610, 0.084608, 3197.004519, 0.172877, 1564.652755
3Dspectralwave, 680943, 680943, 17165766, 2.236698, 3851.459789, 1.927917, 4468.321015
3Dspectralwave2, 292008, 292008, 7307376, 0.955235, 3838.449926, 0.915168, 4006.502049
3dtube, 45330, 45330, 1629474, 0.204506, 4022.805077, 0.229648, 3582.379247
598a, 110971, 110971, 741934, 0.199059, 1908.327811, 0.221670, 1713.671408
